event_date,purchase_count
2020-04-01,27250
2020-04-02,29639
2020-04-03,28900
2020-04-04,25449
2020-04-05,23845
2020-04-06,25050
2020-04-07,24045
2020-04-08,25544
2020-04-09,26410
2020-04-10,30056
2020-04-11,31179
2020-04-12,29752
2020-04-13,33751
2020-04-14,34105
2020-04-15,41573
2020-04-16,43563
2020-04-17,43421
2020-04-18,39800
2020-04-19,34089
2020-04-20,22
2020-04-21,29
2020-04-22,40618
2020-04-23,41499
2020-04-24,41579
2020-04-25,40945
2020-04-26,39870
2020-04-27,41703
2020-04-28,40669
2020-04-29,40671
2020-04-30,41733
